!BLAKE         BORIS          LOW POP TYPE   OTTUMWA   IA1234567890005A
!HUNTER        GABRIELLE      ZIP NOT NUM    OSKALOOSA MOWORDS    0103A
!WRIGHT        MATT           TOOLOWCASES    OSKALOOSA MO1234567890500B
!TERRY         AUDREY         NOT GOOD TEAM  CENTERVILLMO9876543210145F
!TERRY         AUDREY         WRONG STATE    CENTERVILLKY1234567890145A
BLAKE          BORIS          100 105TH AVE  OTTUMWA   MO9876543210604A
!MARTIN        WILLIAM        CASENOTNUM     OTTUMWA   MO12345678901##B
MORRISON       VICTORIA       3 132ND ST     OTTUMWA   MO9876543210254C
!BLAKE         BORIS          LOW POP TYPE   OTTUMWA   NE1234567890005A
MARTIN         WILLIAM        2 110TH AVE    OTTUMWA   NE9876543210101B
MORRISON       VICTORIA       3 132ND ST     OTTUMWA   NE1234567890205C
MATHIS         GAVIN          4 138TH ST     EDDYVILLE NE9876543210323D
BURGESS        LEAH           5 145TH AVE    EDDYVILLE NE1234567890423E
BOWER          EMMA           6 150TH AVE    EDDYVILLE NE9876543210502A
MORRISON       JASON          7 165TH AVE    EDDYVILLE NE1234567890603B
!SUTHERLAND    LAUREN         HIGH POP TYPE  ALBIA     NE9876543210703C
!WALSH         SEAN           NO STATE       ALBIA       1234567890203D
PETERS         SIMON          10 220TH AVE   ALBIA     NE9876543210103E
!CARR          EVAN           NOTNUMPOPTYPE  ALBIA     NE123456789!!01A
               !MEGAN         NO LNAME       OSKALOOSA NE1234567890302B
!RANDALL                      NO FNAME       OSKALOOSA NE9876543210103C
!FISHER        JOHN                          NOADDRESS NE1234567890102D
!HAMILTON      FRANK          NO CITY                  NE9876543210103E
!HUNTER        GABRIELLE      ZIP NOT NUM    OSKALOOSA NEWORDS    0103A
!WRIGHT        MATT           TOOLOWCASES    OSKALOOSA NE1234567890500B
!TERRY         AUDREY         NOT GOOD TEAM  CENTERVILLNE1234567890145F
!TERRY         AUDREY         WRONG STATE    CENTERVILLAL1234567890145A
BLAKE          BORIS          100 105TH AVE  OTTUMWA   NE1234567890604A
!MARTIN        WILLIAM        CASENOTNUM     OTTUMWA   NE98765432101##B
MORRISON       VICTORIA       3 132ND ST     OTTUMWA   NE1234567890254C
!BLAKE         BORIS          LOW POP TYPE   OTTUMWA   WI1234567890005A
MARTIN         WILLIAM        2 110TH AVE    OTTUMWA   WI1234567890101B
MORRISON       VICTORIA       3 132ND ST     OTTUMWA   WI9876543210205C
MATHIS         GAVIN          4 138TH ST     EDDYVILLE WI1234567890323D
BURGESS        LEAH           5 145TH AVE    EDDYVILLE WI1234567890423E
BOWER          EMMA           6 150TH AVE    EDDYVILLE WI9876543210502A
MORRISON       JASON          7 165TH AVE    EDDYVILLE WI1234567890603B
!SUTHERLAND    LAUREN         HIGH POP TYPE  ALBIA     WI1234567890703C
!WALSH         SEAN           NO STATE       ALBIA       1234567890203D
PETERS         SIMON          10 220TH AVE   ALBIA     WI1234567890103E
!CARR          EVAN           NOTNUMPOPTYPE  ALBIA     WI123456789/\01A
               !MEGAN         NO LNAME       OSKALOOSA WI1234567890302B
!RANDALL                      NO FNAME       OSKALOOSA WI9876543210103C
!FISHER        JOHN                          NOADDRESS WI1234567890102D
!HAMILTON      FRANK          NO CITY                  WI1234567890103E
!HUNTER        GABRIELLE      ZIP NOT NUM    OSKALOOSA WIWORDS    0103A
!WRIGHT        MATT           TOOLOWCASES    OSKALOOSA WI1234567890500B
!TERRY         AUDREY         NOT GOOD TEAM  CENTERVILLWI9876543210145F
!TERRY         AUDREY         WRONG STATE    CENTERVILLTN1234567890145A
BLAKE          BORIS          100 105TH AVE  OTTUMWA   WI1234567890604A
!MARTIN        WILLIAM        CASENOTNUM     OTTUMWA   WI12345678901##B
MORRISON       VICTORIA       3 132ND ST     OTTUMWA   WI9876543210254C
